Selector,Value
li.tbVal,"['21,953.35\r\n                                \r\n                                -193.30 (-0.87%)', '57,373.95\r\n                                \r\n                                -1,146.25 (-1.96%)', '10,363.15\r\n                                \r\n                                -153.40 (-1.46%)', '46,367.65\r\n                                \r\n                                -422.30 (-0.9%)', '20,541.90\r\n                                \r\n                                -184.00 (-0.89%)']"
li.open,"['Open\r\n                                22,064.85', 'Open\r\n                                58,414.35', 'Open\r\n                                10,499.60', 'Open\r\n                                46,572.10', 'Open\r\n                                20,617.65']"
li.high,"['High\r\n                                22,120.90', 'High\r\n                                58,661.10', 'High\r\n                                10,524.00', 'High\r\n                                46,802.55', 'High\r\n                                20,706.45']"
li.low,"['Low\r\n                                21,931.70', 'Low\r\n                                57,184.20', 'Low\r\n                                10,323.20', 'Low\r\n                                46,310.50', 'Low\r\n                                20,530.35']"
li.tbVal,"['21,953.35\r\n                                \r\n                                -193.30 (-0.87%)', '57,373.95\r\n                                \r\n                                -1,146.25 (-1.96%)', '10,363.15\r\n                                \r\n                                -153.40 (-1.46%)', '46,367.65\r\n                                \r\n                                -422.30 (-0.9%)', '20,541.90\r\n                                \r\n                                -184.00 (-0.89%)']"
li.open,"['Open\r\n                                22,064.85', 'Open\r\n                                58,414.35', 'Open\r\n                                10,499.60', 'Open\r\n                                46,572.10', 'Open\r\n                                20,617.65']"
li.high,"['High\r\n                                22,120.90', 'High\r\n                                58,661.10', 'High\r\n                                10,524.00', 'High\r\n                                46,802.55', 'High\r\n                                20,706.45']"
li.low,"['Low\r\n                                21,931.70', 'Low\r\n                                57,184.20', 'Low\r\n                                10,323.20', 'Low\r\n                                46,310.50', 'Low\r\n                                20,530.35']"
